,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
2245,Carbón Hearts,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2024-06-24,False,15,7.99,80.0,0.0,100,Hobbyist,Reborn Zone Studio,Reborn Zone Studio,https://store.steampowered.com/app/2757690
2246,Card Crafter Genesis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2024-08-15,False,1,9.99,8.0,0.0,0,Hobbyist,Chicago Centered Gaming LLC,SinVR,https://store.steampowered.com/app/2557860
2247,Card Fencer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-03-06,False,27,11.99,226.0,9.112804988706449,75,Hobbyist,Mike Milewski,Mike Milewski,https://store.steampowered.com/app/2745230
2248,Card Hero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-21,False,1,7.99,7.0,0.0,0,Hobbyist,黄文珺,黄文珺,https://store.steampowered.com/app/3281140
2249,Card Master,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-04-30,False,1,0.99,0.0,0.0,0,Hobbyist,Cyan Cloud,Cyan Cloud,https://store.steampowered.com/app/2903740
2250,Card Miner,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04,False,25,2.99,39.0,3.405549241031236,100,Hobbyist,C. Uriah,C. Uriah,https://store.steampowered.com/app/2882600
2251,Card Rogue,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2024-09-19,False,1292,4.99,5161.0,2.249240967722684,76,Hobbyist,Game Tsukuru Kun,Game Tsukuru Kun,https://store.steampowered.com/app/3107620
2252,Card Weapon Shop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2024-10-31,False,409,6.99,2315.0,0.5916666666666667,25,Hobbyist,Vulture Studio,Vulture Studio,https://store.steampowered.com/app/3164850
2253,Card-en-Ciel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-10-23,False,16317,24.99,336597.0,0.0,95,Indie,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",https://store.steampowered.com/app/2730540
2254,Cardaire,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-11-22,False,153,9.99,1375.0,7.733601553978429,96,Hobbyist,aeiou,aeiou,https://store.steampowered.com/app/3124080
2255,Cardboard Chronicles,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-24,False,763,0.0,0.0,1.920472146935351,95,Hobbyist,Studio Casserole,Studio Casserole,https://store.steampowered.com/app/2807290
2256,Cardboard Fish,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-11,False,18,19.99,322.0,3.063705506987955,50,Hobbyist,Rayner Digital Labs,Adrian Rayner,https://store.steampowered.com/app/2248270
